魚の名前,英名,保存した画像ファイル名,分類,解説,image2,image3
マジリアイゴ,Masked rabbitfish,majiriaigo3.jpg,アイゴ科,"全長：25cm
生息：3
-
12m
のサンゴ礁域
分布：琉球列島、南シナ海からバヌアツまで西太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",majiriaigo4.jpg,majiriaigo1.jpg
シモフリアイゴ,Masked rabbitfish,shimofuriaigo1.jpg,アイゴ科,"全長：30cm
生息：サンゴ礁域、藻場
分布：高知県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",欠損,欠損
セダカハナアイゴ,-,sedakahanaaigo2.jpg,アイゴ科,"全長：35cm
生息：サンゴ礁域
分布：南日本、ニューカレドニアなど
レア度：★★★☆☆
人気：★☆☆☆☆
撮り易さ：★★☆☆☆",sedakahanaaigo3.jpg,sedakahanaaigo1.jpg
ジャワラビットフィッシュ,Java rabbitfish,javarabbitfish1.jpg,アイゴ科,"全長：50cm
生息：浅いサンゴ礁域大きな群れを作ることもある。
分布：インド洋から西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",javarabbitfish2.jpg,欠損
ラインドラビットフィッシュ,Lined rabbitfish,linedrabbitfish1.jpg,アイゴ科,"全長：35cm
生息：浅いサンゴ礁域
分布：インド洋から西部太平洋
レア度：0
人気：★★★☆☆
撮り易さ：★★☆☆☆",欠損,欠損
フォックスフェイスラビットフィッシュ,Fox-face rabbitfish,foxfacerabbitfish1.jpg,アイゴ科,"全長：25cm
生息：浅いサンゴ礁域
分布：台湾からグレートバリアリーフ、ニューカレドニア
レア度：★★★★☆

人気：0
撮り易さ：★★☆☆☆",欠損,欠損
ブリ,Japanese amberjack,buri1.jpg,アジ科,"全長：120cm
生息：沖合中層域
分布：東シナ海からカムチャッカ半島
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",buri2.jpg,buri3.jpg
マアジ,Japanese jack mackerel,maaji3.jpg,アジ科,"全長：40cm
生息：沿岸、沖合の中底層
分布：北西太平洋の温帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",maaji1.jpg,maaji2.jpg
メアジ,Big- eye scad,meaji1.jpg,アジ科,"全長：20cm
生息：沿岸から沖合にかけて群れで生息する
分布：津軽海峡以南、全世界の熱帯、亜熱帯海域
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
体側に黄色の縦帯があるものとないものがいる",meaji2.jpg,欠損
パーミット,Permit,permit1.jpg,アジ科,"全長：120cm
生息：岩礁域や砂底域を遊泳する。
分布：カリブ海、大西洋
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★☆☆",欠損,欠損
ムロアジ,Amberstripe scad,muroaji1.jpg,アジ科,"全長：40cm
生息：沿岸、沖合の中底層
分布：インド洋、太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",欠損,欠損
カッポレ,Black jack fish,kappore2.jpg,アジ科,"全長：90cm
生息：沿岸、沖合の中層
分布：全世界の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",kappore1.jpg,欠損
マテアジ,Yellowtail scad,mateaji1.jpg,アジ科,"全長：35cm
生息：沿岸を群れで遊泳する。大型生物に付随することもある。
分布：インド洋から太平洋の熱帯域
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
,,欠損,アジ科,,欠損,欠損
シマアジ,White trevally,shimaaji1.jpg,アジ科,"全長：120cm
生息：群れで海中を遊泳する
分布：全世界の温帯、亜熱帯海域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★☆☆
食用として最高級の扱いを受けている。",shimaaji2.jpg,欠損
ヒラマサ,Yellowtail amberjack,hiramasa1.jpg,アジ科,"全長：190cm
生息：沿岸の中底層
分布：全世界の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",欠損,欠損
バージャック,Bar Jack,barjasck4.jpg,アジ科,"全長：60cm
生息：中層域を遊泳する。群れを形成することも多い。
分布：カリブ海、大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",barjasck1.jpg,barjasck2.jpg
カンパチ,Greater amberjack,kanpachi1.jpg,アジ科,"全長：190cm
生息：20～70ｍの中層域
分布：東部太平洋を除く全世界の熱帯、温帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",kanpachi2.jpg,kanpachi3.jpg
グリーンジャック,Green jack,greenjack1.jpg,アジ科,"全長：55cm
生息：沿岸域から内湾、外洋域などの広範囲に生息する。大きな群れを形成する。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",greenjack2.jpg,欠損
カスミアジ,Bluefin trevally,kasumiaji5.jpg,アジ科,"全長：80cm
生息：沿岸、沖合の中層
分布：インド洋、太平洋の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",kasumiaji6.jpg,kasumiaji4.jpg
コガネアジ,Orangespotted trevally,koganeaji1.jpg,アジ科,"全長：45cm
生息：沿岸の中底層
分布：インド洋、西太平洋の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★★☆
",koganeaji4.jpg,koganeaji2.jpg
ツムブリ,Rainbow runner,tsumuburi2.jpg,アジ科,"全長：180cm
生息：沿岸から沖合いに生息
分布：千葉県以南、全世界の温帯、亜熱帯海域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★☆☆☆",tsumuburi1.jpg,欠損
ロウニンアジ,Giant trevally,rouninaji2.jpg,アジ科,"全長：160cm
生息：サンゴ礁域や岩礁域を遊泳する。
分布：琉球列島、紅海、インド洋から太平洋の熱帯域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★☆☆☆",rouninaji1.jpg,欠損
テルメアジ,Oxeye scad,terumeaji1.jpg,アジ科,"全長：20cm
生息：岩礁域を大きな群れで遊泳する。
分布：南日本、インド洋から太平洋の熱帯域
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★★★",terumeaji2.jpg,terumeaji3.jpg
オニヒラアジ,Brassy trevally,onihiraaji2.jpg,アジ科,"全長：90cm
生息：沿岸の内湾から沖合の深海まで広く遊泳する
分布：和歌山県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",onihiraaji3.jpg,onihiraaji1.jpg
クサヤモロ,Mackerel scad,kusayamoro1.jpg,アジ科,"全長：30cm
生息：沿岸域から水深４００ｍ程までの深海を遊泳する。大きな群れを形成する。
分布：全世界の温帯から熱帯の海
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",kusayamoro3.jpg,kusayamoro2.jpg
ギンガメアジ,Bigeye trevally,gingameaji11.jpg,アジ科,"全長：90cm
生息：沿岸の中層
分布：インド洋、太平洋の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★★☆
",gingameaji10.jpg,gingameaji7.jpg
ブルーランナー,Blue Runner,bluerunner3.jpg,アジ科,"全長：70cm
生息：群れで海中を遊泳する。
分布：カリブ海、大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",bluerunner1.jpg,bluerunner2.jpg
インドオキアジ,Whitemouth jack,indookiaji3.jpg,アジ科,"全長：40cm
生息：沿岸から沖合にかけての中層域を遊泳する
分布：高知県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",indookiaji2.jpg,indookiaji4.jpg
クロヒラアジ,Blue trevally,kurohiraaji1.jpg,アジ科,"全長：45cm
生息：沿岸の中底層
分布：インド洋、太平洋の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",欠損,欠損
インドカイワリ,Barcheek trevally,indokaiwari1.jpg,アジ科,"全長：50cm
生息：サンゴ礁域を遊泳する。
分布：和歌山県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",indokaiwari2.jpg,欠損
学名：Selaroides leptolepis,Yellowstripe scad,欠損,アジ科,,欠損,欠損
ホースアイジャック,Horse-eye Jack,horseeyejack3.jpg,アジ科,"全長：70cm
生息：中層域を遊泳する。群れを形成することも多い。
分布：カリブ海、大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",horseeyejack2.jpg,horseeyejack1.jpg
ヒシヨロイアジ,Longnose trevally,hishiyoroiaji1.jpg,アジ科,"全長：50cm
生息：沿岸、沖合の中層
分布：愛知県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",hishiyoroiaji2.jpg,欠損
ナンヨウカイワリ,Island trevally,nanyoukaiwari3.jpg,アジ科,"全長：80cm
生息：沿岸、沖合の中層
分布：インド洋、太平洋の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",nanyoukaiwari2.jpg,nanyoukaiwari1.jpg
マブタシマアジ,Herring scad,mabutashimaaji5.jpg,アジ科,"全長：50cm
生息：沿岸域を遊泳する。
分布：琉球列島、インド洋から太平洋の熱帯域
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★☆☆☆",mabutashimaaji4.jpg,mabutashimaaji1.jpg
コガネシマアジ,Golden trevally,koganeshimaaji4.jpg,アジ科,"全長：120cm
生息：内湾の下層域、サンゴ礁域、幼魚は大型生物について泳ぐ
分布：南日本、インド洋から太平洋の温帯、熱帯域
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★☆☆☆",koganeshimaaji3.jpg,koganeshimaaji1.jpg
ヒレナガカンパチ,Almaco jack,hirenagakanpachi2.jpg,アジ科,"全長：110cm
生息：沖合の深み
分布：全世界の熱帯、亜熱帯域
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",hirenagakanpachi1.jpg,欠損
オオクチイケカツオ,Talang queenfish,ookuchiikekatsuo4.jpg,アジ科,"全長：100cm
生息：外洋に面した岩礁域を遊泳する。
分布：インド洋から中西部太平洋、日本で見られることは極めてまれ。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★☆☆☆",ookuchiikekatsuo3.jpg,ookuchiikekatsuo2.jpg
ガフトップスルポンパーノ,Gafftopsail pompano,gafftopsailpompano2.jpg,アジ科,"全長：60cm
生息：沿岸の表層域を小さな群れで遊泳する。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★☆☆",gafftopsailpompano3.jpg,gafftopsailpompano1.jpg
アキアナゴ,Sharp nose garden eel,akianago1.jpg,アナゴ科,"全長：74cm
生息：砂中に生息する。
分布：駿河湾以南、八重山諸島、台湾など。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",akianago2.jpg,欠損
チンアナゴ,Spotted garden eel,chinanago9.jpg,アナゴ科,"全長：40cm
生息：サンゴ礁域の砂中に生息する。
分布：伊豆大島以南、インド洋から太平洋に分布する。
レア度：★★☆☆☆
人気：★★★★☆

撮り易さ：★★★☆☆
ガーデンイールの代表格。危険を感じると穴に引っ込む。",chinanago8.jpg,chinanago7.jpg
ハナアナゴ,Silver conger,hanaanago1.jpg,アナゴ科,"全長：50cm
生息：浅い砂泥底に生息する。
分布：千葉県以南、東インド洋、西太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",hanaanago2.jpg,欠損
シンジュアナゴ,Pacific spaghetti eel,shinjuanago3.jpg,アナゴ科,"全長：100cm
生息：サンゴ礁域の砂中に生息する。
分布：八丈島、台湾、フィリピンなどに分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",shinjuanago1.jpg,shinjuanago2.jpg
コルテスガーデンイール,Cortez garden eel,cortezgardeneel3.jpg,アナゴ科,"全長：60cm
生息：砂底域に穴を掘って生活する。警戒心が強く、人が近づくとすぐに穴に隠れる。
分布：東部太平洋
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★☆☆☆",cortezgardeneel2.jpg,cortezgardeneel1.jpg
ジャイアントケルプフィッシュ,Giant kelpfish,giantkelpfish2.jpg,アサヒギンポ科,"全長：60cm
生息：ジャイアントケルプや海藻域に生息する。
分布：東部太平洋、北アメリカからカリフォルニア半島
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",giantkelpfish3.jpg,giantkelpfish1.jpg
イタチウオ,Bearded brotula,itachiuo4.jpg,アシロ科,"全長：60cm
生息：岩礁域、サンゴ礁域に生息する。
分布：福島県、富山県以南、インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
アシロ科には深海性の種が多いが、本種は浅海で見られる。",itachiuo3.jpg,itachiuo1.jpg
ベラギンポ,Spotted sand-diver,beraginpo1.jpg,ベラギンポ科,"全長：25cm
生息：砂礫底に生息する。
分布：千葉県以南、インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",beraginpo2.jpg,欠損
リュウグウベラギンポ,Sreadfin sand-diver,ryuuguuberaginpo1.jpg,ベラギンポ科,"全長：20cm
生息：砂底域をホバリングする。
分布：琉球列島、西太平洋に分布する。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
イラ,Scarbreast tuskfish,ira3.jpg,ベラ科,"全長：50cm
生息：沿岸の岩礁域。
分布：千葉県以南の南日本、朝鮮半島、南シナ海。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",ira2.jpg,ira1.jpg
テンス,Blackspot razorfish,tensu1.jpg,ベラ科,"全長：35cm
生息：砂底。
分布：千葉県以南の南日本、東インド諸島。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",tensu2.jpg,欠損
コブダイ,Bulgyhead wrasse,kobudai2.jpg,ベラ科,"全長：100cm
生息：沿岸の岩礁域。
分布：下北半島以南、朝鮮半島、南シナ海。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",kobudai1.jpg,欠損
ホンベラ,Motleystripe rainbowfish,honbera1.jpg,ベラ科,"全長：18cm
生息：岩礁域。
分布：下北半島以南、東シナ海。
レア度：★☆☆☆☆
人気：★☆☆☆☆
撮り易さ：★★☆☆☆",honbera3.jpg,honbera2.jpg
イトベラ,Slender wrasse,itobera1.jpg,ベラ科,"全長：17cm
生息：内湾に岩礁周辺の砂底
分布：伊豆半島以南、西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
キュウセン,Multicolorfin rainbowfish,kyuusen4.jpg,ベラ科,"全長：30cm
生息：浅い岩礁域、砂地。
分布：日本広域、西太平洋。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",kyuusen5.jpg,kyuusen1.jpg
クギベラ,Bird wrasse,kugibera1.jpg,ベラ科,"全長：25cm
生息：岩礁、サンゴ礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",kugibera2.jpg,欠損
ヒラベラ,Iniistius pentadactylus,hirabera1.jpg,ベラ科,"全長：20cm
生息：サンゴ礁の砂底域。
分布：小笠原諸島、琉球列島、インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ハコベラ,Fivestripe wrasse,hakobera1.jpg,ベラ科,"全長：15cm
生息：浅いサンゴ礁域。
分布：沖縄県以南の南日本、インドから西太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
タコベラ,Two-spot wrasse,takobera1.jpg,ベラ科,"全長：12cm
生息：岩礁、サンゴ礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",takobera4.jpg,takobera3.jpg
スジベラ,Pale-barred coris,sujibera1.jpg,ベラ科,"全長：20cm
生息：岩礁、サンゴ礁域の砂礫底。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",sujibera2.jpg,sujibera3.jpg
タキベラ,Golden-spot hogfish,takibera1.jpg,ベラ科,"全長：80cm
生息：岩礁、サンゴ礁域。
分布：小笠原諸島、静岡県以南、インドから西太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",takibera2.jpg,takibera3.jpg
オトメベラ,Moon wrasse,otomebera1.jpg,ベラ科,"全長：20cm
生息：沿岸の岩礁、サンゴ礁域。
分布：和歌山県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",otomebera2.jpg,欠損
オグロベラ,Smalltail wrasse,ogurobera1.jpg,ベラ科,"全長：12cm
生息：岩礁、サンゴ礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★☆☆☆",欠損,欠損
ヤシャベラ,Redbreast wrasse,yashabera5.jpg,ベラ科,"全長：35cm
生息：岩礁、サンゴ礁域。
分布：和歌山県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",yashabera4.jpg,yashabera1.jpg
ギチベラ,Slingjaw wrasse,gichibera3.jpg,ベラ科,"全長：35cm
生息：浅いサンゴ礁域。
分布：奄美大島以南、インドから太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",gichibera4.jpg,gichibera1.jpg
ツキベラ,-,tsukibera2.jpg,ベラ科,"全長：18cm
生息：浅いサンゴ礁域。
分布：小笠原諸島、高知県以南。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",tsukibera1.jpg,欠損
ツユベラ,Yellowtail coris,tsuyubera1.jpg,ベラ科,"全長：40cm
生息：岩礁、サンゴ礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",tsuyubera3.jpg,tsuyubera2.jpg
ムシベラ,Geographic wrasse,mushibera1.jpg,ベラ科,"全長：20cm
生息：サンゴ礁域。
分布：琉球列島、インドから西太平洋。
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
ホクトベラ,Spotted wrasse,hokutobera1.jpg,ベラ科,"全長：20cm
生息：岩礁、サンゴ礁域。
分布：和歌山県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",hokutobera2.jpg,欠損
ナメラベラ,Ring wrasse,namerabera1.jpg,ベラ科,"全長：40cm
生息：岩礁域の砂礫底。
分布：和歌山県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",namerabera2.jpg,欠損
ホシテンス,Peacock wrasse,hoshitensu3.jpg,ベラ科,"全長：35cm
生息：砂底。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",hoshitensu1.jpg,hoshitensu2.jpg
ムスメベラ,Comb wrasse,musumebera1.jpg,ベラ科,"全長：25cm
生息：岩礁域の砂礫底。
分布：千葉県以南の南日本、西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",musumebera2.jpg,欠損
ミヤケベラ,Wedge-tailed wrasse,miyakebera2.jpg,ベラ科,"全長：12cm
生息：岩礁、サンゴ礁域。
分布：三宅島以南、西太平洋。
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆",miyakebera1.jpg,欠損
カマスベラ,Cigar wrasse,kamasubera1.jpg,ベラ科,"全長：40cm
生息：岩礁域、砂地。
分布：千葉県以南の南日本、インドから西太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
トカラベラ,Checkerboard wrasse,tokarabera1.jpg,ベラ科,"全長：25cm
生息：浅い岩礁、サンゴ礁域の砂礫底。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",tokarabera2.jpg,tokarabera3.jpg
アカオビベラ,Red-shoulder wrasse,akaobibera1.jpg,ベラ科,"全長：15cm
生息：浅い岩礁、サンゴ礁域。
分布：千葉県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
クジャクベラ,Pink flasher,kujakubera3.jpg,ベラ科,"全長：10cm
生息：サンゴ礁域。
分布：琉球列島、フィリピン。
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★☆☆☆",kujakubera1.jpg,kujakubera4.jpg
クサビベラ,Orange-dotted tuskfish,kusabibera1.jpg,ベラ科,"全長：35cm
生息：サンゴ礁域の砂礫底に生息する。
分布：琉球列島、インドから西太平洋。インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
マナベベラ,Rust-blotch Wrasse,manabebera1.jpg,ベラ科,"全長：12cm
生息：浅いサンゴ礁域。
分布：奄美大島以南の南日本、西太平洋。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
キツネベラ,Tarry hogfish,kitsunebera1.jpg,ベラ科,"全長：60cm
生息：岩礁、サンゴ礁域。
分布：小笠原諸島、和歌山県以南、インドから西太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",kitsunebera2.jpg,kitsunebera3.jpg
ムナテンベラ,Black wrasse,munatenbera2.jpg,ベラ科,"全長：18cm
生息：浅い岩礁、サンゴ礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",munatenbera3.jpg,munatenbera1.jpg
マイヒメベラ,Polynesian wrasse,maihimebera1.jpg,ベラ科,"全長：13cm
生息：岩礁、サンゴ礁域。
分布：小笠原諸島、ポリネシア。
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
カンムリベラ,Clown coris,kanmuribera1.jpg,ベラ科,"全長：100cm
生息：岩礁、サンゴ礁域の砂礫底。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",kanmuribera2.jpg,kanmuribera3.jpg
オトヒメベラ,Long green wrasse,otohimebera1.jpg,ベラ科,"全長：14cm
生息：岩礁域。
分布：静岡県以南の南日本、インドから西太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",otohimebera2.jpg,欠損
テンスモドキ,Wood's wrasse,tensumodoki1.jpg,ベラ科,"全長：18cm
生息：砂底。
分布：静岡県以南の南日本、ハワイ諸島。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
ニシキベラ,Cupido wrasse,nishikibera2.jpg,ベラ科,"全長：20cm
生息：浅い岩礁域に生息する。
分布：伊豆半島以南、朝鮮半島、台湾に分布する。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",nishikibera1.jpg,欠損
オハグロベラ,Flagfin wrasse,ohagurobera3.jpg,ベラ科,"全長：20cm
生息：沿岸の岩礁域。
分布：千葉県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",ohagurobera1.jpg,ohagurobera6.jpg
イトヒキベラ,Threadfin wrasse,itohikibera1.jpg,ベラ科,"全長：12cm
生息：岩礁域。
分布：静岡県以南の南日本、西太平洋。
レア度：★★☆☆☆
人気：★★★★☆

撮り易さ：★★☆☆☆",itohikibera5.jpg,itohikibera6.jpg
セナスジベラ,Sixbar wrasse,senasujibera1.jpg,ベラ科,"全長：20cm
生息：浅いサンゴ礁域。
分布：和歌山県以南の南日本、インドから太平洋。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",senasujibera2.jpg,欠損
ソメワケベラ,Bicolor cleaner wrasse,somewakebera1.jpg,ベラ科,"全長：12cm
生息：浅い岩礁、サンゴ礁域。
分布：和歌山県以南の南日本、インドから西太平洋。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",somewakebera3.jpg,欠損
